case_id,best_start_distance_km,min_charge_s,max_charge_s,min_heat_kWh,max_heat_kWh
82,33.907,989.194458,1021.318787,3.130622,3.997622
83,nan,nan,nan,nan,nan
84,36.669,917.800659,920.938599,3.179339,3.736005
85,nan,nan,nan,nan,nan
86,28.645,990.075439,1027.767212,3.196979,4.090312
87,29.757,973.837891,1009.949829,3.100062,3.995395
88,30.578,967.344055,1003.207031,3.138371,4.045705
89,nan,nan,nan,nan,nan
90,33.892,961.733459,986.200256,3.128993,3.937326
91,37.321,910.150208,912.797974,3.183345,3.613345
92,nan,nan,nan,nan,nan
93,nan,nan,nan,nan,nan
94,30.780,935.013367,969.186646,3.195657,4.104657
95,nan,nan,nan,nan,nan
96,35.622,909.235657,927.142090,3.193902,3.922569
97,39.000,955.354553,955.695679,3.120359,3.623025
98,29.545,994.642456,1032.875610,3.147322,4.045989
99,31.959,988.142395,1026.043213,3.169824,4.085490
100,nan,nan,nan,nan,nan
101,nan,nan,nan,nan,nan
102,31.258,920.566223,954.721375,3.209991,4.119658
103,31.752,976.974609,1013.721741,3.246670,4.154003
104,30.074,1014.636353,1054.567871,3.074919,3.981920
105,38.324,895.765381,897.160156,3.151563,3.305563
106,36.819,917.517334,919.967041,3.161799,3.660799
107,38.589,918.520081,919.166870,3.183079,3.280079
108,39.000,967.236145,967.320618,3.172343,3.376343
109,nan,nan,nan,nan,nan
110,30.082,999.953003,1038.693726,3.179944,4.083277
111,32.954,1030.142822,1043.494629,3.174640,3.841306
112,31.901,875.980225,909.697510,3.157405,4.066072
113,nan,nan,nan,nan,nan
114,38.213,933.932251,934.652771,3.179188,3.355188
115,nan,nan,nan,nan,nan
116,36.906,1079.303345,1079.805420,3.090381,3.118048
117,38.224,903.751465,905.190735,3.156286,3.333952
118,nan,nan,nan,nan,nan
119,nan,nan,nan,nan,nan
120,nan,nan,nan,nan,nan
121,nan,nan,nan,nan,nan
122,38.922,996.830872,1000.394897,3.155131,3.729465
123,nan,nan,nan,nan,nan
124,nan,nan,nan,nan,nan
125,20.929,979.025452,1014.955627,3.165436,4.023769
126,32.288,992.614746,1030.859619,3.247232,4.159899
127,38.703,902.234802,902.821045,3.194891,3.260558
128,nan,nan,nan,nan,nan
129,nan,nan,nan,nan,nan
130,nan,nan,nan,nan,nan
131,nan,nan,nan,nan,nan
132,31.842,985.757019,1023.306091,3.143194,4.050528
133,30.593,951.497070,986.010254,3.177535,4.080202
134,nan,nan,nan,nan,nan
135,nan,nan,nan,nan,nan
136,30.869,1033.642700,1041.968018,3.132444,3.718110
137,33.155,906.160767,940.035889,3.129281,4.044614
138,nan,nan,nan,nan,nan
139,36.798,837.166382,842.326721,3.207093,3.782093
140,30.932,1000.441040,1039.181274,3.105209,4.015543
141,nan,nan,nan,nan,nan
142,38.667,862.160095,863.225098,3.180842,3.259842
143,nan,nan,nan,nan,nan
144,34.473,1000.672302,1019.505493,3.163826,3.896493
145,nan,nan,nan,nan,nan
146,37.624,931.569641,932.892456,3.151106,3.525773
147,38.999,987.671204,988.474182,3.144542,3.366542
148,nan,nan,nan,nan,nan
149,29.176,991.188538,1029.171143,3.175529,4.079529
150,37.342,957.740662,957.928223,3.184383,3.644382
151,31.105,1039.986694,1048.410645,3.118247,3.610580
152,nan,nan,nan,nan,nan
153,37.887,941.439392,942.142212,3.140328,3.417995
154,nan,nan,nan,nan,nan
155,38.688,917.019775,917.483887,3.148642,3.215642
156,37.893,932.663208,933.627808,3.159057,3.400390
157,32.395,911.207825,945.545105,3.231416,4.146083
158,36.200,1054.894043,1060.048462,3.110382,3.435049
159,24.306,962.488892,997.244202,3.080710,3.961710
160,nan,nan,nan,nan,nan
161,nan,nan,nan,nan,nan
162,32.288,1033.172974,1041.159790,3.182669,3.780336
163,36.240,945.756836,946.150330,3.116295,3.645629
164,nan,nan,nan,nan,nan
165,nan,nan,nan,nan,nan
166,39.000,1001.689270,1005.440186,3.131408,3.648075
167,nan,nan,nan,nan,nan
168,30.794,1015.682190,1054.863403,3.192105,4.091772
169,nan,nan,nan,nan,nan
170,31.616,1017.291260,1053.786133,3.087419,3.963753
171,31.714,902.127319,936.223389,3.208952,4.120286
172,nan,nan,nan,nan,nan
173,37.594,1057.303345,1061.896973,3.108918,3.403252
174,31.983,1014.388977,1054.668091,3.205099,4.118098
175,37.049,1056.014648,1061.009399,3.091904,3.401237
176,24.659,1044.775513,1052.788940,3.163752,3.584752
177,nan,nan,nan,nan,nan
178,34.538,972.663818,995.706055,3.118616,3.905950
179,39.001,980.087769,982.000183,3.128415,3.617748
180,30.027,979.904724,1016.715637,3.128750,4.027750
181,24.145,1058.406006,1063.781128,3.164351,3.423684
182,32.000,1037.481201,1046.370117,3.091050,3.611717
183,30.010,1014.575195,1054.570435,3.137444,4.037110
184,36.138,983.815063,996.708984,3.180690,3.864357
185,nan,nan,nan,nan,nan
186,26.769,1004.795532,1043.617065,3.163293,4.047626
187,nan,nan,nan,nan,nan
188,39.000,1026.909180,1032.941406,3.121342,3.642009
189,nan,nan,nan,nan,nan
190,nan,nan,nan,nan,nan
191,37.557,852.214905,855.494080,3.230437,3.610104
192,38.120,881.904663,884.466003,3.172781,3.416114
193,38.999,988.787598,990.470886,3.151714,3.526714
194,35.667,967.598877,975.685608,3.163284,3.800284
195,34.655,972.848389,999.635986,3.153391,3.979391
196,nan,nan,nan,nan,nan
197,nan,nan,nan,nan,nan
198,38.744,877.731750,878.489990,3.196237,3.260570
199,nan,nan,nan,nan,nan
200,nan,nan,nan,nan,nan
201,nan,nan,nan,nan,nan
202,nan,nan,nan,nan,nan
203,19.557,1047.615234,1055.610962,3.155504,3.533170
204,nan,nan,nan,nan,nan
205,28.709,1004.576172,1043.589355,3.203157,4.095824
206,nan,nan,nan,nan,nan
207,38.209,907.822876,909.124695,3.160305,3.332971
208,36.946,864.944824,870.520813,3.153002,3.653668
209,31.284,956.441040,991.519714,3.224633,4.134633
210,38.779,1010.657471,1016.403687,3.164745,3.771745
211,nan,nan,nan,nan,nan
212,20.134,1047.124634,1055.303345,3.149447,3.530114
213,nan,nan,nan,nan,nan
214,nan,nan,nan,nan,nan
215,nan,nan,nan,nan,nan
216,nan,nan,nan,nan,nan
217,24.315,1053.736084,1060.010010,3.195209,3.509209
218,35.277,938.257324,957.151794,3.177867,3.930200
219,nan,nan,nan,nan,nan
220,28.251,984.644043,1021.866821,3.152086,4.048420
221,26.764,950.585693,984.705078,3.168864,4.054864
222,32.897,1020.439270,1051.125732,3.115247,3.943913
223,22.060,1028.474609,1045.239746,3.157374,3.805707
224,37.086,1077.956299,1078.737061,3.090693,3.134692
225,32.000,940.743958,975.169373,3.210554,4.121887
226,32.152,1068.707031,1071.424316,3.189136,3.339136
227,33.765,991.435974,1029.675903,3.179322,4.102322
228,34.365,999.414307,1036.797119,3.108119,4.019119
229,nan,nan,nan,nan,nan
230,33.580,1041.848755,1049.918945,3.055927,3.533593
231,37.856,1063.857178,1067.331909,3.128685,3.344018
232,37.920,955.800842,956.015564,3.143590,3.429923
233,28.185,1011.131470,1050.430420,3.067262,3.963595
234,nan,nan,nan,nan,nan
235,nan,nan,nan,nan,nan
236,nan,nan,nan,nan,nan
237,nan,nan,nan,nan,nan
238,22.549,987.756348,1024.655273,3.174490,4.038490
239,nan,nan,nan,nan,nan
240,31.205,973.899658,1010.391296,3.142980,4.052647
241,nan,nan,nan,nan,nan
242,28.882,1008.212952,1047.291870,3.045462,3.943128
243,nan,nan,nan,nan,nan
244,38.444,872.350403,873.885803,3.190480,3.316480
245,nan,nan,nan,nan,nan
246,nan,nan,nan,nan,nan
247,nan,nan,nan,nan,nan
248,nan,nan,nan,nan,nan
249,nan,nan,nan,nan,nan
250,19.869,1060.437988,1065.494873,3.224273,3.457273
251,nan,nan,nan,nan,nan
252,34.847,977.188660,1006.616272,3.132462,3.982795
253,33.141,1014.652893,1054.890015,3.097260,4.015260
254,nan,nan,nan,nan,nan
255,nan,nan,nan,nan,nan
256,nan,nan,nan,nan,nan
257,nan,nan,nan,nan,nan
258,30.548,1055.459839,1060.925293,3.140861,3.444528
259,nan,nan,nan,nan,nan
260,34.359,889.027283,918.392578,3.115522,3.982522
261,38.348,912.640259,913.660767,3.166819,3.308486
262,nan,nan,nan,nan,nan
263,nan,nan,nan,nan,nan
264,nan,nan,nan,nan,nan
265,nan,nan,nan,nan,nan
266,nan,nan,nan,nan,nan
267,30.578,871.360474,905.138916,3.224053,4.130053
268,24.504,1011.286987,1050.458130,3.076261,3.959594
269,nan,nan,nan,nan,nan
270,nan,nan,nan,nan,nan
271,35.820,908.527466,915.917053,3.129244,3.730244
272,23.730,1041.447510,1050.157593,3.203560,3.658560
273,nan,nan,nan,nan,nan
274,nan,nan,nan,nan,nan
275,nan,nan,nan,nan,nan
276,38.687,951.129028,951.306213,3.158019,3.226685
277,38.998,979.300537,979.570374,3.156264,3.290597
278,nan,nan,nan,nan,nan
279,nan,nan,nan,nan,nan
280,nan,nan,nan,nan,nan
281,nan,nan,nan,nan,nan
282,29.490,985.531738,1022.952576,3.191520,4.090520
283,nan,nan,nan,nan,nan
284,29.782,975.724609,1012.069641,3.134055,4.036056
285,22.673,1006.789490,1045.318604,3.181483,4.043816
286,nan,nan,nan,nan,nan
287,31.457,972.983215,1009.378357,3.167255,4.076589
288,nan,nan,nan,nan,nan
289,28.916,1021.855530,1050.128052,3.177560,3.967893
290,nan,nan,nan,nan,nan
291,nan,nan,nan,nan,nan
292,38.999,1041.122314,1042.638306,3.123027,3.257027
293,28.355,951.809021,986.184998,3.172756,4.064757
294,nan,nan,nan,nan,nan
295,36.881,847.472473,851.083252,3.153297,3.628297
296,37.559,915.313477,917.411133,3.164029,3.535362
297,15.282,1077.576538,1078.678955,3.145832,3.188165
298,38.706,1015.034180,1021.489746,3.067489,3.679156
299,nan,nan,nan,nan,nan
300,36.789,976.346497,981.043335,3.187613,3.789613
301,nan,nan,nan,nan,nan
302,nan,nan,nan,nan,nan
303,nan,nan,nan,nan,nan
304,nan,nan,nan,nan,nan
305,nan,nan,nan,nan,nan
306,nan,nan,nan,nan,nan
307,34.886,997.048889,1015.071716,3.089392,3.817392
308,nan,nan,nan,nan,nan
309,nan,nan,nan,nan,nan
310,34.504,933.206726,966.306519,3.152817,4.059484
311,nan,nan,nan,nan,nan
312,nan,nan,nan,nan,nan
313,nan,nan,nan,nan,nan
314,37.598,1073.834839,1075.400146,3.112590,3.205923
315,nan,nan,nan,nan,nan
316,38.999,966.388123,966.467468,3.136778,3.339111
317,38.758,902.575317,903.068420,3.185291,3.242290
318,35.567,1004.557251,1020.170898,3.114490,3.818156
319,29.587,1011.773865,1051.433350,3.152028,4.051028
320,nan,nan,nan,nan,nan
321,31.708,1035.978638,1044.764038,3.069831,3.621165
322,nan,nan,nan,nan,nan
323,34.855,964.597717,1000.473083,3.186788,4.109122
324,34.390,1049.785767,1055.869995,3.167498,3.548164
325,38.391,929.806396,930.499390,3.138884,3.279217
326,31.691,1055.980103,1061.229736,3.184001,3.483334
327,nan,nan,nan,nan,nan
328,nan,nan,nan,nan,nan
329,nan,nan,nan,nan,nan
330,nan,nan,nan,nan,nan
331,nan,nan,nan,nan,nan
332,nan,nan,nan,nan,nan
333,nan,nan,nan,nan,nan
334,nan,nan,nan,nan,nan
335,30.282,1026.964111,1046.098633,3.120129,3.828796
336,nan,nan,nan,nan,nan
337,30.124,1020.102295,1051.521484,3.171636,3.993302
338,21.540,1033.399902,1043.032959,3.126908,3.690242
339,25.576,1016.908203,1054.372925,3.053192,3.918858
340,33.376,985.460205,1023.032104,3.152151,4.067484
341,nan,nan,nan,nan,nan
342,nan,nan,nan,nan,nan
343,36.784,900.509033,903.464844,3.170782,3.579448
344,35.824,941.761719,950.631348,3.101474,3.745474
345,nan,nan,nan,nan,nan
346,35.572,1007.441467,1020.443359,3.136841,3.814508
347,nan,nan,nan,nan,nan
348,nan,nan,nan,nan,nan
349,nan,nan,nan,nan,nan
350,28.803,1029.028687,1044.594971,3.146090,3.800424
351,nan,nan,nan,nan,nan
352,nan,nan,nan,nan,nan
353,nan,nan,nan,nan,nan
354,nan,nan,nan,nan,nan
355,38.894,1034.683228,1041.859131,3.129454,3.704787
356,34.904,986.748413,1006.752136,3.141464,3.892797
357,nan,nan,nan,nan,nan
358,nan,nan,nan,nan,nan
359,37.094,914.138428,916.505737,3.184718,3.594718
360,39.000,962.426270,962.937744,3.112880,3.547547
361,38.999,979.782776,981.433655,3.134794,3.607127
362,nan,nan,nan,nan,nan
363,nan,nan,nan,nan,nan
364,nan,nan,nan,nan,nan
365,35.038,1033.535645,1041.235718,3.149340,3.756006
366,27.687,958.064758,992.746277,3.140655,4.029322
367,38.930,1028.295776,1035.038940,3.106989,3.672323
368,32.409,1010.356384,1050.245728,3.133084,4.051417
369,34.343,896.888855,921.123962,3.161804,3.962804
370,19.530,979.451050,1015.493469,3.105728,3.966062
371,nan,nan,nan,nan,nan
372,nan,nan,nan,nan,nan
373,38.958,957.046997,957.062866,3.128439,3.137106
374,28.074,959.764343,994.673218,3.199768,4.088101
375,nan,nan,nan,nan,nan
376,26.271,1027.162842,1046.059448,3.071638,3.767304
377,nan,nan,nan,nan,nan
378,nan,nan,nan,nan,nan
379,nan,nan,nan,nan,nan
380,nan,nan,nan,nan,nan
381,nan,nan,nan,nan,nan
382,nan,nan,nan,nan,nan
383,nan,nan,nan,nan,nan
384,33.560,982.256653,1019.505066,3.110174,4.032507
385,38.085,1037.862427,1045.204468,3.179101,3.726768
386,38.998,963.546082,963.753662,3.158853,3.505520
387,20.207,1014.376953,1053.416870,3.118801,3.970801
388,38.801,994.442627,999.571167,3.147229,3.749228
389,nan,nan,nan,nan,nan
390,nan,nan,nan,nan,nan
391,nan,nan,nan,nan,nan
392,nan,nan,nan,nan,nan
393,nan,nan,nan,nan,nan
394,36.853,936.684143,937.776611,3.129213,3.572880
395,nan,nan,nan,nan,nan
396,nan,nan,nan,nan,nan
397,38.998,1001.939453,1004.408081,3.152164,3.532164
398,39.000,981.061218,982.685120,3.119152,3.546152
399,38.999,980.078247,981.913574,3.170416,3.679750
400,nan,nan,nan,nan,nan
401,nan,nan,nan,nan,nan
402,32.673,984.249451,1021.817566,3.185220,4.103553
403,nan,nan,nan,nan,nan
404,37.443,907.177429,909.788330,3.169389,3.559055
405,35.392,998.925598,1007.579773,3.113894,3.749561
406,nan,nan,nan,nan,nan
407,nan,nan,nan,nan,nan
408,35.822,1023.298950,1048.769043,3.156957,3.944624
409,nan,nan,nan,nan,nan
410,nan,nan,nan,nan,nan
411,nan,nan,nan,nan,nan
412,nan,nan,nan,nan,nan
413,nan,nan,nan,nan,nan
414,nan,nan,nan,nan,nan
415,nan,nan,nan,nan,nan
416,nan,nan,nan,nan,nan
417,28.962,1004.003296,1042.879761,3.086754,3.985087
418,nan,nan,nan,nan,nan
419,37.842,1034.794189,1042.261475,3.093372,3.689372
420,nan,nan,nan,nan,nan
421,nan,nan,nan,nan,nan
422,20.595,1066.771973,1070.446777,3.158586,3.319919
423,nan,nan,nan,nan,nan
424,29.030,998.750977,1037.149048,3.172745,4.069077
425,37.428,890.648621,894.185120,3.181983,3.587317
426,31.716,879.899658,913.403381,3.131261,4.043594
427,38.463,911.131165,912.112976,3.166450,3.301783
428,nan,nan,nan,nan,nan
429,nan,nan,nan,nan,nan
430,nan,nan,nan,nan,nan
431,nan,nan,nan,nan,nan
432,20.405,989.995789,1026.626831,3.172942,4.024276
433,nan,nan,nan,nan,nan
434,nan,nan,nan,nan,nan
435,nan,nan,nan,nan,nan
436,35.784,1014.985596,1038.566284,3.139830,3.914830
437,38.693,1005.972168,1012.818298,3.129394,3.746394
438,39.000,959.018738,959.399292,3.148150,3.622817
439,34.439,1033.661499,1041.259766,3.196023,3.794022
440,33.476,939.233765,973.793274,3.193425,4.112758
441,36.661,926.571228,928.580444,3.193259,3.723926
442,nan,nan,nan,nan,nan
443,37.761,859.479004,862.521973,3.154353,3.434353
444,35.766,905.034485,913.979858,3.141119,3.758453
445,nan,nan,nan,nan,nan
446,34.818,1077.046509,1077.992920,3.148755,3.202755
447,38.999,968.877625,969.102905,3.156069,3.391068
448,nan,nan,nan,nan,nan
449,34.385,926.958923,946.990906,3.125099,3.886766
450,28.465,984.016052,1021.184387,3.193397,4.086397
451,nan,nan,nan,nan,nan
452,27.911,1026.240356,1046.719238,3.191591,3.899925
453,38.389,923.076904,923.827881,3.156434,3.290100
454,37.283,889.640747,893.401001,3.169401,3.610068
455,38.481,893.753357,894.842285,3.166706,3.280039
456,nan,nan,nan,nan,nan
457,35.600,969.620728,983.253174,3.179305,3.873638
458,37.863,884.218079,886.941956,3.155111,3.433778
459,nan,nan,nan,nan,nan
460,nan,nan,nan,nan,nan
461,nan,nan,nan,nan,nan
462,38.130,906.224182,907.921509,3.193202,3.424536
463,30.718,989.023254,1026.786987,3.195691,4.098358
464,nan,nan,nan,nan,nan
465,nan,nan,nan,nan,nan
466,nan,nan,nan,nan,nan
467,26.015,1030.269165,1043.705078,3.165314,3.798647
468,nan,nan,nan,nan,nan
469,nan,nan,nan,nan,nan
470,28.631,1025.193237,1047.594238,3.112245,3.844911
471,37.309,1052.314453,1057.838501,3.114015,3.470348
472,nan,nan,nan,nan,nan
473,37.746,872.989258,876.243408,3.179259,3.469926
474,39.001,1003.535889,1006.766174,3.139594,3.585927
475,nan,nan,nan,nan,nan
476,nan,nan,nan,nan,nan
477,30.178,1029.064941,1044.433472,3.125547,3.801880
478,nan,nan,nan,nan,nan
479,19.428,1078.709961,1079.479248,3.147884,3.179550
480,nan,nan,nan,nan,nan
481,38.999,994.233337,994.842957,3.132326,3.284992
482,34.400,1062.492554,1066.380127,3.128475,3.353475
483,nan,nan,nan,nan,nan
484,nan,nan,nan,nan,nan
485,23.362,1004.020752,1042.455811,3.097714,3.973047
486,22.680,1073.382690,1075.410278,3.162903,3.253570
487,nan,nan,nan,nan,nan
488,28.051,1012.996155,1052.840820,3.170039,4.067039
489,29.718,1020.253601,1051.492676,3.209407,4.026741
490,nan,nan,nan,nan,nan
491,38.891,1007.742126,1012.400391,3.159758,3.734091
492,nan,nan,nan,nan,nan
493,nan,nan,nan,nan,nan
494,38.297,1036.661865,1044.330078,3.085935,3.651602
495,14.390,1045.129028,1054.199097,3.164058,3.559391
496,37.608,901.368286,904.267151,3.158103,3.551436
497,nan,nan,nan,nan,nan
498,nan,nan,nan,nan,nan
499,nan,nan,nan,nan,nan
500,38.943,976.520874,978.288574,3.170532,3.733198
501,nan,nan,nan,nan,nan
502,nan,nan,nan,nan,nan
503,38.104,931.119385,932.029236,3.145973,3.361640
504,34.989,972.402710,991.716919,3.159470,3.911470
505,39.000,1010.716614,1011.067078,3.132618,3.188618
506,30.360,1075.385010,1076.774780,3.211739,3.283739
507,nan,nan,nan,nan,nan
508,38.925,974.802979,976.676453,3.147398,3.717731
509,28.464,1027.352661,1045.754517,3.170181,3.867181
510,nan,nan,nan,nan,nan
511,nan,nan,nan,nan,nan
512,nan,nan,nan,nan,nan
513,nan,nan,nan,nan,nan
514,20.789,1071.661865,1074.139038,3.179933,3.288266
515,33.388,971.461304,1007.945984,3.161665,4.083665
516,nan,nan,nan,nan,nan
517,nan,nan,nan,nan,nan
518,36.411,1043.751465,1050.866943,3.102354,3.561354
519,29.331,981.333740,1018.371948,3.231504,4.130504
520,36.295,880.954285,886.062805,3.203157,3.743490
521,27.194,988.739868,1026.040649,3.082208,3.974208
522,nan,nan,nan,nan,nan
523,38.297,960.270813,960.366577,3.159861,3.357528
524,nan,nan,nan,nan,nan
525,30.696,1066.055054,1069.495361,3.123110,3.302110
526,35.823,925.494995,928.317261,3.143417,3.703417
527,37.732,836.350403,838.462708,3.229567,3.538567
528,nan,nan,nan,nan,nan
529,nan,nan,nan,nan,nan
530,29.688,1064.360474,1068.407227,3.025080,3.219413
531,39.001,1039.037964,1039.133057,3.128867,3.138201
532,nan,nan,nan,nan,nan
533,nan,nan,nan,nan,nan
534,nan,nan,nan,nan,nan
535,nan,nan,nan,nan,nan
536,23.283,928.169250,960.152466,3.185878,4.048545
537,21.209,1073.237061,1075.318481,3.163957,3.254956
538,32.069,1049.937988,1056.264893,3.158392,3.532059
539,nan,nan,nan,nan,nan
540,nan,nan,nan,nan,nan
541,nan,nan,nan,nan,nan
542,18.883,1063.141968,1067.781494,3.141801,3.340801
543,30.812,924.343994,958.406067,3.230065,4.137732
544,nan,nan,nan,nan,nan
545,39.000,1016.230591,1019.908325,3.136475,3.542142
546,32.998,1067.671997,1070.705078,3.103097,3.266097
547,nan,nan,nan,nan,nan
548,nan,nan,nan,nan,nan
549,nan,nan,nan,nan,nan
550,nan,nan,nan,nan,nan
551,36.404,1016.968445,1030.088013,3.161325,3.840658
552,nan,nan,nan,nan,nan
553,34.207,891.492432,922.748352,3.186186,4.072853
554,32.831,958.102844,993.404541,3.192584,4.109251
555,nan,nan,nan,nan,nan
556,nan,nan,nan,nan,nan
557,nan,nan,nan,nan,nan
558,38.317,1044.215454,1050.939941,3.094739,3.556406
559,nan,nan,nan,nan,nan
560,35.974,957.805847,980.872070,3.201069,4.001402
561,nan,nan,nan,nan,nan
562,nan,nan,nan,nan,nan
563,29.133,984.552063,1021.820129,3.219053,4.114720
564,nan,nan,nan,nan,nan
565,28.670,1004.113831,1043.213989,3.179423,4.078756
566,nan,nan,nan,nan,nan
567,28.291,945.842529,979.511414,3.122559,4.017225
568,30.838,961.958862,997.373169,3.148978,4.058311
569,nan,nan,nan,nan,nan
570,31.279,1015.873840,1054.870850,3.213600,4.106599
571,nan,nan,nan,nan,nan
572,nan,nan,nan,nan,nan
573,38.091,871.880981,874.237366,3.184048,3.385048
574,22.598,1010.878967,1049.555176,3.158760,4.017760
575,nan,nan,nan,nan,nan
576,35.257,1018.129761,1030.350220,3.127224,3.793557
577,38.930,884.005005,884.197693,3.171826,3.189159
578,nan,nan,nan,nan,nan
579,28.934,963.548584,998.835266,3.088548,3.988214
580,38.657,830.480896,831.192505,3.208601,3.300934
581,17.720,1026.778198,1046.611084,3.065970,3.738970
582,30.319,1058.360718,1063.252930,3.165660,3.436660
583,nan,nan,nan,nan,nan
584,38.999,962.325195,963.049805,3.128591,3.651257
585,36.912,925.876831,928.451721,3.197320,3.755320
586,39.001,978.677185,979.849487,3.161829,3.566829
587,20.763,1066.601563,1070.303223,3.168397,3.333397
588,nan,nan,nan,nan,nan
589,nan,nan,nan,nan,nan
590,34.979,931.703491,948.638916,3.103283,3.834283
591,25.751,1068.409790,1071.592773,3.079170,3.224504
592,36.559,886.838806,891.421936,3.164798,3.708465
593,20.279,1070.525024,1073.290894,3.147685,3.267685
594,38.871,852.690918,852.849426,3.208486,3.238486
595,38.079,896.295715,898.438110,3.177554,3.424220
596,nan,nan,nan,nan,nan
597,36.610,888.351257,892.240967,3.122578,3.591578
598,nan,nan,nan,nan,nan
599,29.564,975.082031,1011.357605,3.111840,4.008841
600,21.469,1057.690674,1063.332764,3.173243,3.436243
601,nan,nan,nan,nan,nan
602,32.000,1002.421387,1041.390259,3.118477,4.031477
603,39.000,973.656067,975.099670,3.165249,3.684916
604,nan,nan,nan,nan,nan
605,29.064,956.957764,991.634155,3.081513,3.980513
606,38.643,909.615112,910.343750,3.164577,3.259910
607,25.182,1026.720947,1046.459961,3.070569,3.769902
608,nan,nan,nan,nan,nan
609,nan,nan,nan,nan,nan
610,37.705,1055.612915,1060.504761,3.124931,3.442263
611,nan,nan,nan,nan,nan
612,nan,nan,nan,nan,nan
613,32.916,949.939331,984.394897,3.167248,4.082248
614,35.457,952.865784,970.042480,3.138149,3.876483
615,31.380,912.516113,946.112610,3.118736,4.028069
616,30.068,944.988831,978.706421,3.100545,4.001212
617,27.952,972.087097,1008.210266,3.209559,4.103892
618,33.120,1045.355713,1052.782959,3.066432,3.499431
619,37.942,1037.084106,1044.579346,3.123458,3.678458
620,39.000,995.789551,998.077637,3.138714,3.537714
